relation,original_accuracy,erased_accuracy,erased_ratio_accuracy,num_kn_rel,original_ppl,erased_ppl,ppl_increase_ratio,other_original_accuracy,other_erased_accuracy,other_erased_ratio_accuracy,other_original_ppl,other_erased_ppl,other_ppl_increase_ratio,time
BR01,0.0015,0.0,1.0,20,103071.3936,252463.4769,1.4494,0.0025,0.0016,0.375,137438.8055,241489.9351,0.7571,249.8151581000002
BR02,0.0,0.0,0.0,9,290624.9932,723653.8359,1.49,0.0026,0.0025,0.04,130225.3685,384541.4378,1.9529,247.14747459999944
BR03,0.0238,0.0149,0.375,20,22563.7135,58549.2962,1.5948,0.0001,0.0001,0.0,164347.761,444916.7603,1.7072,251.15434299999924
BR04,0.0,0.0,0.0,20,166222.117,427694.6165,1.573,0.0028,0.0018,0.36,131013.064,363131.704,1.7717,249.1658556000002
BR05,0.0,0.0,0.0,10,135145.6967,409664.2115,2.0313,0.0026,0.0021,0.2,134923.2696,470205.8203,2.485,252.50890320000053
BR06,0.0,0.0,0.0,20,166262.4189,1280301.7614,6.7005,0.0038,0.0035,0.08,120407.0756,413648.2796,2.4354,251.6708219000011
BR07,0.0,0.0,0.0,10,182271.1738,597392.3365,2.2775,0.0027,0.0025,0.08,130864.514,403897.6006,2.0864,245.21388060000027
BR08,0.0,0.0,0.0,16,180474.0915,575809.2248,2.1905,0.0026,0.0023,0.12,132281.4942,475168.5026,2.5921,248.19654749999972
BR09,0.0,0.0,0.0,12,154465.833,424958.3897,1.7511,0.0028,0.0024,0.12,132695.5043,462627.7549,2.4864,250.4284731000007
