relation,original_accuracy,erased_accuracy,erased_ratio_accuracy,num_kn_rel,original_ppl,erased_ppl,ppl_increase_ratio,other_original_accuracy,other_erased_accuracy,other_erased_ratio_accuracy,other_original_ppl,other_erased_ppl,other_ppl_increase_ratio,time
BR01,0.0,0.0,0.0,20,44800.2119,84133.0317,0.878,0.0,0.0,0.0,36228.6186,70003.3676,0.9323,475.7896044000008
BR02,0.0,0.0,0.0,15,20385.1523,48191.6726,1.3641,0.0,0.0,0.0,37738.2051,68920.4617,0.8263,480.66226879999886
BR03,0.0,0.0,0.0,20,172415.4329,260258.9171,0.5095,0.0,0.0,0.0,30966.4315,45010.2726,0.4535,486.06703300000663
BR04,0.0,0.0,0.0,20,40822.7489,78805.4502,0.9304,0.0,0.0,0.0,36178.2536,74274.2361,1.053,503.74370250000356
BR05,0.0,0.0,0.0,17,25973.1728,56430.5165,1.1726,0.0,0.0,0.0,37387.3032,69264.0053,0.8526,484.90800070000114
BR06,0.0,0.0,0.0,20,29383.6787,87341.4854,1.9724,0.0,0.0,0.0,41474.5547,79790.9534,0.9239,501.5959593000007
BR07,0.0,0.0,0.0,20,31185.7919,60518.5817,0.9406,0.0,0.0,0.0,37340.1551,64953.9105,0.7395,485.18800719999854
BR08,0.0,0.0,0.0,20,27443.8897,78535.3063,1.8617,0.0,0.0,0.0,37461.3596,82898.9443,1.2129,479.2408045999982
BR09,0.0,0.0,0.0,20,29562.5056,65552.5847,1.2174,0.0,0.0,0.0,37722.8889,72375.4254,0.9186,485.0892093000002
