relation,original_accuracy,erased_accuracy,erased_ratio_accuracy,num_kn_rel,original_ppl,erased_ppl,ppl_increase_ratio,other_original_accuracy,other_erased_accuracy,other_erased_ratio_accuracy,other_original_ppl,other_erased_ppl,other_ppl_increase_ratio,time
BR01,0.0,0.0,0.0,19,14815.5808,30443.8924,1.0549,0.0013,0.0013,0.0,14493.8541,30010.7319,1.0706,265.7790149
BR02,0.0,0.0,0.0,15,26687.6366,51922.1874,0.9456,0.0012,0.0011,0.0833,14110.6538,29339.1851,1.0792,263.49771189999996
BR03,0.0119,0.005,0.5833,20,5881.0766,15128.7464,1.5724,0.0,0.0,0.0,16034.414,32836.2416,1.0479,266.91666869999995
BR04,0.0,0.0,0.0,20,13281.7894,36429.1719,1.7428,0.0013,0.001,0.25,14697.4815,36147.693,1.4594,257.7187944
BR05,0.0,0.0,0.0,20,6224.6156,17687.1542,1.8415,0.0012,0.0007,0.4167,15163.6832,41209.0679,1.7176,259.9371859999999
BR06,0.0,0.0,0.0,20,30915.5662,184151.3174,4.9566,0.0018,0.0018,0.0,9607.9209,22907.6097,1.3842,262.43269110000006
BR07,0.0,0.0,0.0,20,10994.8335,31111.4783,1.8296,0.0013,0.001,0.25,14930.5526,27827.9916,0.8638,272.5124871999999
BR08,0.0,0.0,0.0,19,8769.8603,28711.7604,2.2739,0.0013,0.0012,0.0833,15022.1607,43086.578,1.8682,263.37629960000004
BR09,0.0,0.0,0.0,13,6127.0466,13328.051,1.1753,0.0013,0.0014,-0.0833,16148.9935,35741.4613,1.2132,262.78370710000036
