relation,original_accuracy,erased_accuracy,erased_ratio_accuracy,num_kn_rel,original_ppl,erased_ppl,ppl_increase_ratio,other_original_accuracy,other_erased_accuracy,other_erased_ratio_accuracy,other_original_ppl,other_erased_ppl,other_ppl_increase_ratio,time
BR01,0.0046,0.0015,0.6667,18,18679.706,47522.8799,1.5441,0.0015,0.0016,-0.0714,23184.5277,54461.5122,1.349,473.3700265000007
BR02,0.0,0.0,0.0,11,20060.8625,40375.9331,1.0127,0.0017,0.0021,-0.1765,23005.5909,44938.7399,0.9534,479.5419473000002
BR03,0.0129,0.0149,-0.1538,20,12136.3861,35710.4089,1.9424,0.0004,0.0001,0.75,24520.8639,79008.3829,2.2221,484.5604527999967
BR04,0.0,0.0,0.0,20,15111.5751,40582.9046,1.6856,0.0019,0.0019,0.0,24246.0272,62558.953,1.5802,496.858615000001
BR05,0.0,0.0,0.0,10,6532.1367,14221.6199,1.1772,0.0018,0.0025,-0.4118,24397.0408,49169.2951,1.0154,467.3600332999995
BR06,0.0,0.0,0.0,20,80011.2748,393858.5405,3.9225,0.0026,0.0032,-0.2353,11545.8606,26087.4812,1.2595,486.6254332999997
BR07,0.0011,0.0,1.0,20,9338.4349,30915.6876,2.3106,0.0017,0.0021,-0.1875,25050.1556,72027.1155,1.8753,491.23707849999846
BR08,0.0,0.0,0.0,11,12335.1239,36920.1919,1.9931,0.0018,0.0021,-0.1765,23850.8376,64575.525,1.7075,470.5909204999989
BR09,0.0,0.0,0.0,11,7325.657,17277.2521,1.3585,0.0019,0.0025,-0.3529,26325.7762,59771.8724,1.2705,478.01825520000057
