relation,original_accuracy,erased_accuracy,erased_ratio_accuracy,num_kn_rel,original_ppl,erased_ppl,ppl_increase_ratio,other_original_accuracy,other_erased_accuracy,other_erased_ratio_accuracy,other_original_ppl,other_erased_ppl,other_ppl_increase_ratio,time
BR01,0.0046,0.0015,0.6667,15,241522.3175,685100.033,1.8366,0.0027,0.0025,0.0769,410059.7543,901765.2817,1.1991,514.3171757
BR02,0.0,0.0,0.0,6,725200.1861,1747894.5752,1.4102,0.003,0.0027,0.1034,385487.5813,910578.2487,1.3621,495.4112087000012
BR03,0.0248,0.0198,0.2,20,46733.6224,150728.8688,2.2253,0.0004,0.0003,0.25,501805.1095,2612482.8902,4.2062,499.684407499999
BR04,0.0,0.0,0.0,20,475924.5266,969949.8483,1.038,0.0033,0.0034,-0.0345,386302.9875,753972.634,0.9518,511.6206374000012
BR05,0.002,0.002,0.0,12,352893.3515,689740.519,0.9545,0.0029,0.0028,0.0357,398809.7838,754501.9085,0.8919,508.1367646999988
BR06,0.0,0.0,0.0,20,585731.9071,4176732.2932,6.1308,0.0044,0.0036,0.1724,320369.8835,1129068.3812,2.5243,501.24300439999934
BR07,0.0,0.0,0.0,8,610004.8112,1271990.481,1.0852,0.0031,0.0034,-0.069,379394.8394,744341.2573,0.9619,500.05506290000085
BR08,0.0,0.0,0.0,6,441066.0222,700915.1953,0.5891,0.003,0.0029,0.0345,393540.5304,554304.0595,0.4085,502.09392800000023
BR09,0.0,0.0,0.0,8,457909.9793,681425.605,0.4881,0.0032,0.0031,0.0345,389406.9374,494849.5316,0.2708,501.7687941000004
