relation,original_accuracy,erased_accuracy,erased_ratio_accuracy,num_kn_rel,original_ppl,erased_ppl,ppl_increase_ratio,other_original_accuracy,other_erased_accuracy,other_erased_ratio_accuracy,other_original_ppl,other_erased_ppl,other_ppl_increase_ratio,time
BR01,0.0,0.0,0.0,20,32049.2706,41611.8575,0.2984,0.0,0.0,0.0,33215.646,42509.6385,0.2798,439.71414989999903
BR02,0.0,0.0,0.0,20,28746.7406,39274.9468,0.3662,0.0,0.0,0.0,33358.754,44021.5888,0.3196,455.83067479999954
BR03,0.0,0.0,0.0,20,44667.3423,51007.5416,0.1419,0.0,0.0,0.0,32066.8388,38909.9312,0.2134,438.2011257999984
BR04,0.0,0.0,0.0,20,33393.8477,42940.6937,0.2859,0.0,0.0,0.0,33104.0819,41724.4305,0.2604,444.9643215000033
BR05,0.0,0.0,0.0,20,34664.7854,42103.257,0.2146,0.0,0.0,0.0,33062.8461,39037.7851,0.1807,445.5145980999987
BR06,0.0,0.0,0.0,20,30510.1299,40877.8962,0.3398,0.0,0.0,0.0,34668.9553,44151.4171,0.2735,457.3627302999994
BR07,0.0,0.0,0.0,20,34246.3482,40063.1434,0.1699,0.0,0.0,0.0,33029.1825,37644.4054,0.1397,451.4385648000025
BR08,0.0,0.0,0.0,20,33643.2468,39617.9059,0.1776,0.0,0.0,0.0,33105.7503,37995.2791,0.1477,461.6923042999988
BR09,0.0,0.0,0.0,20,33385.7474,39848.5188,0.1936,0.0,0.0,0.0,33109.5393,38453.5688,0.1614,439.71705870000005
