relation,original_accuracy,erased_accuracy,erased_ratio_accuracy,num_kn_rel,original_ppl,erased_ppl,ppl_increase_ratio,other_original_accuracy,other_erased_accuracy,other_erased_ratio_accuracy,other_original_ppl,other_erased_ppl,other_ppl_increase_ratio,time
BR01,0.0,0.0,0.0,20,47227.2703,72213.0239,0.5291,0.0,0.0,0.0,40913.4839,67102.8199,0.6401,476.2886910999987
BR02,0.0,0.0,0.0,19,20739.3172,49862.7023,1.4043,0.0,0.0,0.0,42628.016,80488.3209,0.8882,496.5821509999987
BR03,0.0,0.0,0.0,20,182961.548,260704.794,0.4249,0.0,0.0,0.0,35040.0309,50459.8251,0.4401,485.2188479999968
BR04,0.0,0.0,0.0,20,45963.1792,93735.0597,1.0394,0.0,0.0,0.0,40669.2067,91881.081,1.2592,476.8244676000031
BR05,0.0,0.0,0.0,19,30952.0416,73056.1734,1.3603,0.0,0.0,0.0,41910.3756,82831.0643,0.9764,477.6184088000009
BR06,0.0,0.0,0.0,20,32626.1432,94237.71,1.8884,0.0,0.0,0.0,46952.1498,89735.4901,0.9112,582.0885208000036
BR07,0.0,0.0,0.0,20,35286.1256,68225.8532,0.9335,0.0,0.0,0.0,41956.5967,73915.1341,0.7617,543.3872890999992
BR08,0.0,0.0,0.0,20,33073.1225,96072.4479,1.9048,0.0,0.0,0.0,41920.8584,93522.8026,1.2309,474.7605801000027
BR09,0.0,0.0,0.0,20,36618.0659,85289.0667,1.3292,0.0,0.0,0.0,41908.7246,82970.6304,0.9798,484.0730942000009
