relation,original_accuracy,erased_accuracy,erased_ratio_accuracy,num_kn_rel,original_ppl,erased_ppl,ppl_increase_ratio,other_original_accuracy,other_erased_accuracy,other_erased_ratio_accuracy,other_original_ppl,other_erased_ppl,other_ppl_increase_ratio,time
BR01,0.0031,0.0015,0.5,18,13515.8887,35669.3214,1.6391,0.0028,0.0027,0.037,15350.7775,36775.6074,1.3957,492.52229720000014
BR02,0.0,0.0,0.0,9,13308.0328,27992.9982,1.1035,0.003,0.0036,-0.2069,15321.6105,33151.6238,1.1637,514.9611650000002
BR03,0.0248,0.0248,0.0,20,5272.145,10377.4467,0.9684,0.0004,0.0002,0.5,17115.3034,36866.4731,1.154,518.3398264000002
BR04,0.0008,0.0008,0.0,20,11198.0806,23847.9787,1.1296,0.0031,0.0028,0.1071,15902.6336,32011.8489,1.013,513.4545324000001
BR05,0.002,0.002,0.0,8,3831.5076,9372.4064,1.4461,0.0029,0.0031,-0.0714,16352.3697,37761.3868,1.3092,504.60326090000035
BR06,0.0,0.0,0.0,20,59823.6621,281713.8016,3.7091,0.0044,0.0052,-0.1724,7217.1238,15440.3024,1.1394,493.0955163999997
BR07,0.0,0.0,0.0,20,6975.9441,19687.0759,1.8221,0.0031,0.0034,-0.069,16486.2023,38854.8015,1.3568,498.22526579999976
BR08,0.0,0.0,0.0,10,7413.1155,20061.8653,1.7063,0.003,0.0035,-0.1379,15993.374,38246.2871,1.3914,497.6112410000005
BR09,0.0,0.0,0.0,11,4267.8619,12055.7229,1.8248,0.0032,0.0033,-0.0345,17822.0853,50266.1464,1.8204,505.6265688000003
